NAS Well ID,County,State,Well Type,Spud Date,CompletionDate
B24DD49ACA341E9341C8A091,County 4,State 1,Oil,16-06-2015,10-08-2015
1B457162ACD3BC249096A759,County 2,State 2,Gas,31-08-2007,19-09-2007
CEF02AC48EFDBDDE4E4DF0AD,County 4,State 1,Oil,13-05-2016,01-09-2016
772AB0FBCE3D44D11DA838B6,County 2,State 2,Oil,12-08-2014,01-01-2015
767E6E36E9296DD4AE26B850,County 1,State 1,Oil,23-12-2014,21-04-2015
7E5071BAF893BB108E269A2C,County 1,State 1,Oil,04-10-2014,17-11-2014
8E7BA529318B2292EA272DBF,County 1,State 1,Gas,21-08-2015,21-12-2015
7FC36059DFEFAB5889296BA2,County 1,State 1,Gas,19-06-2017,05-09-2017
E9851F4612EE85FF4C8B31D0,County 2,State 2,Oil,11-12-2013,01-03-2014
CC30324C4F8C464B4426B23F,County 2,State 2,Oil,30-09-2013,23-04-2014
1244EBCDF140F457C14FFDB9,County 2,State 2,Oil,08-09-2011,09-01-2012
F7FB52D0F18C84921BBAEE10,County 2,State 2,Oil,10-11-2011,23-12-2011
08EE5852E67EE98BC6A8F0A7,County 2,State 2,Oil,16-09-2010,11-11-2010
7B72BC9C732E2BC254F60AF4,County 2,State 2,Oil,17-04-2017,27-06-2017
B4C396B1C00937B89D6B0994,County 3,State 2,Oil,15-04-2012,13-06-2012
DD222C13FBA5C757156237CA,County 3,State 2,Oil,07-06-2011,08-09-2011
7F8389CF5996B6545F0FCF8C,County 2,State 2,Oil,20-04-2012,10-05-2012
F8852CDFFB29D606DA36FFAA,County 2,State 2,Oil,12-01-2013,18-03-2013
319CB62D2993F220009A681E,County 2,State 2,Gas,12-01-2018,06-07-2018
F0A2CB69A4A76852FEA7B747,County 2,State 2,Oil,31-05-2012,21-07-2012
AD360B8E10950D06053902AA,County 2,State 2,Oil,01-08-2013,22-09-2013
A5E4355BA9B7BB1B98A24C73,County 2,State 2,Oil,11-11-2014,06-03-2015
6A68C369E23AFA902B063814,County 2,State 2,Oil,11-09-2015,15-01-2016
4A2B0BE557E49F3A077E1C6E,County 2,State 2,Gas,28-02-2017,08-06-2017
E6DA37D49E4B4F0BAA9C2DFF,County 2,State 2,Oil,20-08-2005,09-01-2006
5941F66B364819B6E884C361,County 4,State 1,Gas,29-09-2015,02-02-2016
AFDA2DDC69B5BD7133EB1475,County 2,State 2,Oil,09-01-2017,26-04-2017
831714D457C8BD3116901EB1,County 2,State 2,Gas,13-08-2007,09-09-2007
2A927505BD0ABC03FD96AC1E,County 2,State 2,Oil,21-06-2014,29-07-2014
AED54CDB84F56568CD0B96B5,County 3,State 2,Oil,16-12-2014,21-02-2015
50C6F47BEDE90D303D6BFD40,County 2,State 2,Oil,08-01-2015,25-04-2015
62438135DAAA4D2169711AE6,County 2,State 2,Oil,05-03-2011,02-04-2011
B79C33F4B6E08733319A4418,County 2,State 2,Oil,26-01-2006,21-04-2006
785CA7B32869038257D44662,County 1,State 1,Gas,07-12-2013,19-04-2014
93947E0AD175887E4CDDE2CF,County 2,State 2,Oil,16-07-2012,24-09-2012
